"StoryDate","Source","StoryWordCount","topicgrouped","LeadNewsmaker","LeadNewsmaker2"
20120102,1,1374,2,"Santorum, Rick","Romney, Mitt"
20120102,1,1158,2,99,"Romney, Mitt"
20120102,1,1237,26,99,99
20120102,1,1839,3,99,"Pennington, Matthew"
20120102,1,1431,25,99,99
20120102,1,976,5,99,99
20120104,1,1508,2,99,99
20120104,1,1379,2,99,99
20120104,1,1371,25,99,"Obama Administration"
20120104,1,1144,11,99,99
20120104,1,1896,12,99,99
20120106,1,1265,26,99,99
20120106,1,934,2,99,"Obama, Barack"
20120106,1,1406,2,99,"Santorum, Rick"
20120106,1,1075,4,"Shwartz, Patty","Menendez, Robert"
20120106,1,1891,26,99,99
20120106,1,1218,12,99,99
20120110,1,1417,25,99,"Hekmati, Amir Mirzaei"
20120110,1,1375,2,"Gingrich, Newt","Adelson, Sheldon"
20120110,1,1134,26,99,99
20120110,1,774,14,99,99
20120110,1,1145,11,99,99
20120112,1,1564,25,99,99
20120112,1,1257,13,99,"Perich, Cheryl"
20120112,1,1743,25,99,"Karzai, Hamid"
20120112,1,1139,12,99,99
20120112,1,1213,8,99,99
20120112,1,1017,21,99,99
20120115,1,1363,26,99,99
20120115,1,1589,2,99,"Romney, Mitt"
20120115,1,2509,8,99,99
20120115,1,1576,26,99,99
20120115,1,1331,2,"Romney, Mitt","Santorum, Rick"
20120115,1,1276,1,99,"Boehner, John"
20120116,1,1313,26,99,99
20120116,1,1422,25,99,99
20120116,1,1894,25,99,"McDowell, Layne"
20120116,1,1541,2,99,"Santorum, Rick"
20120116,1,1038,2,"Romney, Mitt","Huntsman, Jon"
20120118,1,1186,2,99,"Romney, Mitt"
20120118,1,1347,15,99,99
20120118,1,1050,1,99,99
20120118,1,1222,1,99,99
20120118,1,1403,26,99,99
20120118,1,1069,15,99,99
20120120,1,1495,25,99,99
20120120,1,1537,26,99,99
20120120,1,1271,14,99,99
20120120,1,1290,2,99,"Gingrich, Newt"
20120120,1,1055,26,99,99
20120120,1,1992,2,99,"Santorum, Rick"
20120124,1,1069,2,"Adelson, Sheldon","Gingrich, Newt"
20120124,1,1221,1,99,99
20120124,1,1111,18,99,99
20120124,1,1316,15,99,"Vaughan, Khrys"
20120124,1,1103,6,"Zubaydah, Abu","Kiriakou, John"
20120126,1,1151,8,99,99
20120126,1,5538,7,99,99
20120126,1,1238,25,99,99
20120126,1,1135,14,99,99
20120129,1,1609,2,"Gingrich, Newt","Romney, Mitt"
20120129,1,1161,26,99,99
20120129,1,1291,18,99,99
20120129,1,2756,2,"Gingrich, Newt","Adelson, Sheldon"
20120129,1,1176,26,99,99
20120130,1,1335,25,99,"Obama Administration"
20120130,1,1320,8,99,99
20120130,1,1005,2,99,"Bush, Jeb"
20120130,1,1681,2,99,99
20120130,1,1706,15,99,99
20120201,1,1307,2,"Gingrich, Newt","Romney, Mitt"
20120201,1,1158,14,99,99
20120201,1,1389,7,99,99
20120201,1,1329,2,99,"Romney, Mitt"
20120201,1,1415,25,99,99
20120201,1,1004,26,99,99
20120203,1,1055,18,99,99
20120203,1,1831,5,99,99
20120203,1,1095,26,99,99
20120203,1,1105,1,99,99
20120203,1,1126,7,99,99
20120203,1,1229,5,99,99
20120207,1,1515,2,"Cardona, Carlos","Cardona, Pepe"
20120207,1,1499,26,"Netanyahu, Benjamin","Abbas, Mahmoud"
20120207,1,1441,25,99,99
20120207,1,1048,1,99,99
20120207,1,1239,18,"Gehry, Frank","Eisenhower, Dwight"
20120209,1,1231,8,99,99
20120209,1,1655,26,99,99
20120209,1,1155,25,99,99
20120209,1,1185,2,"Santorum, Rick","Friess, Foster"
20120209,1,1150,1,99,99
20120209,1,1392,12,99,99
20120212,1,4083,18,99,99
20120212,1,1647,2,99,"Romney, Mitt"
20120212,1,1764,26,99,"Murdoch, James"
20120212,1,1210,25,99,99
20120212,1,1185,1,99,"Lincoln, Mary Todd"
20120213,1,1270,25,99,"McRaven, William"
20120213,1,1545,26,99,99
20120213,1,1305,14,99,99
20120213,1,1322,2,99,"Romney, Mitt"
20120213,1,1249,26,99,99
20120213,1,1723,26,99,"Putin, Vladimir"
20120215,1,984,8,99,99
20120215,1,1197,2,99,"Obama, Barack"
20120215,1,1282,25,99,"Xi, Jinping"
20120215,1,1266,21,99,99
20120215,1,1376,5,99,"Maher, Edward"
20120215,1,1317,12,99,99
20120217,1,1430,14,99,99
20120217,1,1897,26,99,"Shakila"
20120217,1,1064,16,99,99
20120217,1,1161,23,99,"Shadid, Anthony"
20120217,1,1214,5,99,"Berndt, Mark"
20120221,1,1185,2,99,"Romney, Mitt"
20120221,1,1442,14,99,99
20120221,1,1511,26,99,99
20120221,1,1060,5,99,99
20120221,1,1249,2,99,99
20120221,1,1301,24,99,99
20120223,1,1207,2,"Santorum, Rick","Romney, Mitt"
20120223,1,1246,14,99,99
20120223,1,1728,26,"Ochlik, Remi","Colvin, Marie"
20120223,1,1093,18,99,"McDonnell, Bob"
20120223,1,2072,24,99,"Rosset, Barney"
20120223,1,1300,8,99,99
20120226,1,1431,25,99,99
20120226,1,1965,25,99,99
20120226,1,1635,2,99,"Romney, Mitt"
20120226,1,1125,2,99,"Romney, Mitt"
20120226,1,962,15,99,99
20120227,1,1332,25,99,99
20120227,1,1272,26,99,99
20120227,1,1106,2,"Romney, Mitt","Santorum, Rick"
